WKT,設置場所,利用時間
"POINT (138.0153773 36.5726597)",公衆電話(車いす可),終日利用可
"POINT (138.0052555 36.5669581)",屋外公衆電話,終日利用可
"POINT (138.1752315 36.6569908)",屋外公衆電話,終日利用可
"POINT (138.1778944 36.6578334)",屋外公衆電話,終日利用可
"POINT (138.1830545 36.6546034)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1811848 36.6512277)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1818392 36.6511502)",公衆電話(車いす可),終日利用可
"POINT (138.1830397 36.6507046)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1724265 36.5922337)",屋内公衆電話,終日利用可
"POINT (138.2676843 36.6837752)",屋外公衆電話,終日利用可
"POINT (138.2872844 36.6852171)",屋外公衆電話,終日利用可
"POINT (138.1874108 36.6544007)",屋外公衆電話,終日利用可
"POINT (138.1875602 36.6592087)",屋外公衆電話,終日利用可
"POINT (138.0849233 36.7414279)",屋外公衆電話,終日利用可
"POINT (138.0766506 36.6716653)",屋外公衆電話,終日利用可
"POINT (138.2377757 36.6808765)",屋外公衆電話,終日利用可
"POINT (138.2313868 36.6786896)",屋外公衆電話,終日利用可
"POINT (138.304496 36.7240615)",屋外公衆電話,終日利用可
"POINT (138.275078 36.7109919)",屋外公衆電話,終日利用可
"POINT (138.2830801 36.7129797)",屋内公衆電話,終日利用可
"POINT (138.2808734 36.7122514)",屋外公衆電話,終日利用可
"POINT (138.3069877 36.73127549999999)",屋外公衆電話,終日利用可
"POINT (138.288606 36.7305724)",屋外公衆電話,終日利用可
"POINT (138.2551163 36.6968541)",屋外公衆電話,終日利用可
"POINT (138.2170412 36.6579551)",屋外公衆電話,終日利用可
"POINT (138.219823 36.653803)",屋内公衆電話,利用不可時間帯あり
"POINT (138.033279 36.606403)",屋外公衆電話,終日利用可
"POINT (138.0361634 36.6112597)",屋外公衆電話,終日利用可
"POINT (138.0157383 36.6035896)",屋外公衆電話,終日利用可
"POINT (138.1931385 36.6681665)",屋外公衆電話,終日利用可
"POINT (138.256089 36.6825)",屋内公衆電話,利用不可時間帯あり
"POINT (138.2559564 36.6829263)",公衆電話(車いす可),終日利用可
"POINT (138.2133821 36.6078651)",屋外公衆電話,終日利用可
"POINT (138.2071232 36.6049207)",屋外公衆電話,終日利用可
"POINT (138.2107753 36.5721773)",屋外公衆電話,終日利用可
"POINT (138.1977221 36.5711657)",屋外公衆電話,終日利用可
"POINT (138.1996113 36.585857)",屋外公衆電話,終日利用可
"POINT (138.1963474 36.5642283)",屋外公衆電話,終日利用可
